key,集合,zh_CN.名称,zh_CN.描述,en-us.名称,en-us.描述,zh_CN.解锁条件,en-us.解锁条件
b_plasma,Back,等离子牌组,"计算出牌分数时
平衡{C:blue}筹码{}和{C:red}倍率{}
盲注要求分数{C:red}X#1#{}",Plasma Deck,"Balance {C:blue}Chips{} and
{C:red}Mult{} when calculating
score for played hand
{C:red}X#1#{} base Blind size",,
b_red,Back,红色牌组,"每回合
{C:red}+#1#{}次弃牌",Red Deck,"{C:red}+#1#{} discard
every round",,
b_yellow,Back,黄色牌组,"开局时
额外获得{C:money}$#1#",Yellow Deck,"Start with
extra {C:money}$#1#",,
b_zodiac,Back,黄道牌组,"开局时即拥有
{C:tarot,T:v_tarot_merchant}#1#{}、
{C:planet,T:v_planet_merchant}#2#{}、
和{C:attention,T:v_overstock_norm}#3#",Zodiac Deck,"Start run with
{C:tarot,T:v_tarot_merchant}#1#{},
{C:planet,T:v_planet_merchant}#2#{},
and {C:attention,T:v_overstock_norm}#3#",,
bl_arm,Blind,手臂,"降低打出的
牌型等级",The Arm,"Decrease level of
played poker hand",,
bl_big,Blind,大盲注,{},Big Blind,{},,
bl_club,Blind,梅花,"所有梅花牌
都被削弱",The Club,"All Club cards
are debuffed",,
bl_eye,Blind,眼睛,"本回合中不可
打出重复牌型",The Eye,"No repeat hand
types this round",,
bl_final_acorn,Blind,琥珀之实,"翻转并洗乱
所有小丑牌",Amber Acorn,"Flips and shuffles
all Joker cards",,
bl_final_bell,Blind,蔚蓝之铃,"迫使 1 张牌
总是被选中",Cerulean Bell,"Forces 1 card to
always be selected",,
bl_final_heart,Blind,绯红之心,"每次出牌
使随机一张小丑牌失效",Crimson Heart,"One random Joker
disabled every hand",,
bl_final_leaf,Blind,翠绿之叶,"所有卡牌都被削弱
直到售出1张小丑牌",Verdant Leaf,"All cards debuffed
until 1 Joker sold",,
bl_final_vessel,Blind,靛紫之杯,超大盲注,Violet Vessel,Very large blind,,
bl_fish,Blind,鱼,"出牌后自动抽取的牌
都是背面朝上",The Fish,"Cards drawn face down
after each hand played",,
bl_flint,Blind,燧石,"基础筹码和
倍率减半",The Flint,"Base Chips and
Mult are halved",,
bl_goad,Blind,挑衅,"所有黑桃牌
都被削弱",The Goad,"All Spade cards
are debuffed",,
bl_head,Blind,头部,"所有红桃牌
都被削弱",The Head,"All Heart cards
are debuffed",,
bl_hook,Blind,钩子,"每次出牌
随机弃掉2张手牌",The Hook,"Discards 2 random
cards per hand played",,
bl_house,Blind,房屋,"第一次的手牌
以背面朝上方式抽取",The House,"First hand is
drawn face down",,
bl_manacle,Blind,镣铐,手牌上限-1,The Manacle,-1 Hand Size,,
bl_mark,Blind,标记,"所有人头牌都是
以背面朝上的方式抽取",The Mark,"All face cards are
drawn face down",,
bl_mouth,Blind,嘴巴,"本回合只能打出
1种牌型",The Mouth,"Play only 1 hand
type this round",,
bl_needle,Blind,针,本回合只能出一次牌,The Needle,Play only 1 hand,,
bl_ox,Blind,公牛,"打出#1#牌型时
资金归$0",The Ox,"Playing a #1#
sets money to $0",,
bl_pillar,Blind,支柱,"在这一底注中
打出过的牌都被削弱",The Pillar,"Cards played previously
this Ante are debuffed",,
bl_plant,Blind,植物,"所有人头牌
都被削弱",The Plant,"All face cards
are debuffed",,
bl_psychic,Blind,灵媒,必须出 5 张牌,The Psychic,Must play 5 cards,,
bl_serpent,Blind,巨蟒,"出牌或弃牌后
总是抽 3 张牌",The Serpent,"After Play or Discard,
always draw 3 cards",,
bl_small,Blind,小盲注,{},Small Blind,{},,
bl_tooth,Blind,牙齿,"每出一张牌
损失$1",The Tooth,"Lose $1 per
card played",,
bl_wall,Blind,围墙,特大盲注,The Wall,Extra large blind,,
bl_water,Blind,水,"初始弃牌
次数为0",The Water,"Start with
0 discards",,
bl_wheel,Blind,车轮,"/7几率，抽到的牌
会是背面朝上",The Wheel," in 7 cards get
drawn face down",,
bl_window,Blind,窗口,"所有方片牌
都被削弱",The Window,"All Diamond cards
are debuffed",,
e_base,Edition,基础,无额外效果,Base,No extra effects,,
e_foil,Edition,闪箔,{C:chips}+#1#{}筹码,Foil,{C:chips}+#1#{} chips,,
e_holo,Edition,镭射,{C:mult}+#1#{}倍率,Holographic,{C:mult}+#1#{} Mult,,
e_negative,Edition,负片,{C:dark_edition}+#1#{}个小丑牌槽位,Negative,{C:dark_edition}+#1#{} Joker slot,,
e_negative_consumable,Edition,负片,{C:dark_edition}+#1#{}个消耗牌槽位,Negative,{C:dark_edition}+#1#{} consumable slot,,
e_polychrome,Edition,多彩,"{X:mult,C:white}X#1#{}倍率",Polychrome,"{X:mult,C:white} X#1# {} Mult",,
m_bonus,Enhanced,奖励牌,{},Bonus Card,{},,
m_glass,Enhanced,玻璃牌,"{X:mult,C:white}X#1#{}倍率
有{C:green}#2#/#3#{}几率
摧毁此牌",Glass Card,"{X:mult,C:white} X#1# {} Mult
{C:green}#2# in #3#{} chance to
destroy card",,
m_gold,Enhanced,黄金牌,"如果这张卡牌
在回合结束时还在手牌中
你获得{C:money}$#1#{}",Gold Card,"{C:money}$#1#{} if this
card is held in hand
at end of round",,
m_lucky,Enhanced,幸运牌,"{C:green}#1#/#3#{}几率
{C:mult}+#2#{}倍率
{C:green}#1#/#5#{}几率
获得{C:money}$#4#",Lucky Card,"{C:green}#1# in #3#{} chance
for {C:mult}+#2#{} Mult
{C:green}#1# in #5#{} chance
to win {C:money}$#4#",,
m_mult,Enhanced,倍率牌,{C:mult}+#1#{}倍率,Mult Card,{C:mult}+#1#{} Mult,,
m_steel,Enhanced,钢铁牌,"这张牌被
留在手牌中时
将给予{X:mult,C:white} X#1# {}倍率",Steel Card,"{X:mult,C:white} X#1# {} Mult
while this card
stays in hand",,
m_stone,Enhanced,石头牌,"{C:chips}+#1#{}筹码
无点数无花色",Stone Card,"{C:chips}+#1#{} Chips
no rank or suit",,
m_wild,Enhanced,万能牌,"可以视作
任何花色",Wild Card,"Can be used
as any suit",,
j_8_ball,Joker,八号球,"打出的每一张{C:attention}8{}
有{C:green}#1#/#2#{}几率在计分时
生成一张{C:tarot}塔罗牌{}
{C:inactive}（必须有空位）",8 Ball,"{C:green}#1# in #2#{} chance for each
played {C:attention}8{} to create a
{C:tarot}Tarot{} card when scored
{C:inactive}(Must have room)",,
j_abstract,Joker,抽象小丑,"每有一张{C:attention}小丑牌{}
{C:mult}+#1#{}倍率
{C:inactive}（当前为{C:red}+#2#{C:inactive}倍率）",Abstract Joker,"{C:mult}+#1#{} Mult for
each {C:attention}Joker{} card
{C:inactive}(Currently {C:red}+#2#{C:inactive} Mult)",,
j_acrobat,Joker,杂技演员,"每回合的最后一次
{C:attention}出牌{}时，{X:red,C:white} X#1# {}倍率",Acrobat,"{X:red,C:white} X#1# {} Mult on {C:attention}final
{C:attention}hand{} of round","打出{C:attention,E:1}#1#{}次牌
{C:inactive}(#2#)","Play {C:attention,E:1}#1#{} hands
{C:inactive}(#2#)"
j_ancient,Joker,古老小丑,"打出的{V:1}#2#{}牌
在计分时
会给予{X:mult,C:white} X#1# {}倍率
{s:0.8}回合结束时改变需求花色",Ancient Joker,"Each played card with
{V:1}#2#{} suit gives
{X:mult,C:white} X#1# {} Mult when scored,
{s:0.8}suit changes at end of round",,
j_arrowhead,Joker,箭头,"打出的
{C:spades}黑桃{}花色牌
在计分时给予{C:chips}+#1#{}筹码",Arrowhead,"Played cards with
{C:spades}Spade{} suit give
{C:chips}+#1#{} Chips when scored","在你的牌组中
拥有至少{E:1,C:attention}#1#张
带有{E:1,C:attention}#2#花色的卡牌","Have at least {E:1,C:attention}#1#
cards with {E:1,C:attention}#2#
suit in your deck"
j_astronomer,Joker,天文学家,"所有{C:planet}星球牌{}
和{C:planet}天体补充包{}
在商店内都{C:attention}免费",Astronomer,"All {C:planet}Planet{} cards and
{C:planet}Celestial Packs{} in
the shop are {C:attention}free","发现所有
{E:1,C:planet}星球牌{}","Discover every
{E:1,C:planet}Planet{} card"
j_banner,Joker,旗帜,"每一个剩余的
{C:attention}弃牌{}次数
{C:chips}+#1#{}筹码",Banner,"{C:chips}+#1#{} Chips for
each remaining
{C:attention}discard",,
j_baron,Joker,男爵,"留在手牌中的
每一张{C:attention}K{}
会给予{X:mult,C:white} X#1# {}倍率",Baron,"Each {C:attention}King{}
held in hand
gives {X:mult,C:white} X#1# {} Mult",,
j_baseball,Joker,棒球卡,"每张{C:green}罕见{}小丑牌
会给予{X:mult,C:white} X#1# {}倍率",Baseball Card,"{C:green}Uncommon{} Jokers
each give {X:mult,C:white} X#1# {} Mult",,
j_blackboard,Joker,黑板,"如果留在手牌中的
所有牌都是{C:spades}#2#{}或{C:clubs}#3#{}
则{X:red,C:white} X#1# {}倍率",Blackboard,"{X:red,C:white} X#1# {} Mult if all
cards held in hand
are {C:spades}#2#{} or {C:clubs}#3#{}",,
j_bloodstone,Joker,血石,"打出的
{C:hearts}红桃{}花色牌
在计分时有{c:green}#1#/#2#{}几率
给予{X:mult,C:white}X#3#{}倍率",Bloodstone,"{C:green}#1# in #2#{} chance for
played cards with
{C:hearts}Heart{} suit to give
{X:mult,C:white} X#3# {} Mult when scored","在你的牌组中
拥有至少{E:1,C:attention}#1#张
带有{E:1,C:attention}#2#花色的卡牌","Have at least {E:1,C:attention}#1#
cards with {E:1,C:attention}#2#
suit in your deck"
j_blue_joker,Joker,蓝色小丑,"每张{C:attention}牌组{}内剩余
的卡牌，{C:chips}+#1#{}筹码
{C:inactive}（当前为{C:chips}+#2#{C:inactive}筹码）",Blue Joker,"{C:chips}+#1#{} Chips for each
remaining card in {C:attention}deck
{C:inactive}(Currently {C:chips}+#2#{C:inactive} Chips)",,
j_blueprint,Joker,蓝图,"复制
右侧{C:attention}小丑牌{}的能力",Blueprint,"Copies ability of
{C:attention}Joker{} to the right",赢一局,Win a run
j_bootstraps,Joker,提靴带,"每拥有{C:money}$#2#{}
{C:mult}+#1#{}倍率
{C:inactive}（当前为{C:mult}+#3#{C:inactive}倍率）",Bootstraps,"{C:mult}+#1#{} Mult for every
{C:money}$#2#{} you have
{C:inactive}(Currently {C:mult}+#3#{C:inactive} Mult)","在你的牌组中拥有至少
{E:1,C:attention}#1#{}张{C:dark_edition}多彩{}小丑","Have at least {E:1,C:attention}#1#
{C:dark_edition}Polychrome{} Jokers"
j_brainstorm,Joker,头脑风暴,"复制最左边的
{C:attention}小丑牌的能力",Brainstorm,"Copies the ability
of leftmost {C:attention}Joker","弃掉一手
{E:1,C:attention}皇家同花顺","Discard a
{E:1,C:attention}Royal Flush"
j_bull,Joker,斗牛,"每拥有{C:money}$1{}
{C:chips}+#1#{}筹码
{C:inactive}（当前为{C:chips}+#2#{C:inactive}筹码）",Bull,"{C:chips}+#1#{} Chips for
each {C:money}$1{} you have
{C:inactive}(Currently {C:chips}+#2#{C:inactive} Chips)",,
j_burglar,Joker,窃贼,"选择{C:attention}盲注{}后
出牌次数{C:red}+#1#{}，并
{C:attention}失去所有弃牌次数",Burglar,"When {C:attention}Blind{} is selected,
gain {C:blue}+#1#{} Hands and
{C:attention}lose all discards",,
j_burnt,Joker,烧焦小丑,"升级每回合
第一次{C:attention}被弃掉的
牌型的等级",Burnt Joker,"Upgrade the level of
the first {C:attention}discarded
poker hand each round","售出所有
{E:1,C:attention}+#1#{}张卡牌
{C:inactive}(#2#)","Sell a total
of {E:1,C:attention}#1#{} cards
{C:inactive}(#2#)"
j_business,Joker,名片,"打出的{C:attention}人头牌{}在计分时
有{C:green}#1#/#2#{}的几率
获得{C:money}$2{}",Business Card,"Played {C:attention}face{} cards have
a {C:green}#1# in #2#{} chance to
give {C:money}$2{} when scored",,
j_caino,Joker,卡尼奥,"每当一张{C:attention}人头牌{}
被摧毁时
这张小丑牌获得{X:mult,C:white}X#1#{}倍率
{C:inactive}（当前为{X:mult,C:white} X#2#{C:inactive}倍率）",Canio,"This Joker gains {X:mult,C:white} X#1# {} Mult
when a {C:attention}face{} card
is destroyed
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)","{E:1,s:1.3}?????","{E:1,s:1.3}?????"
j_campfire,Joker,篝火,"每{C:attention}售出{}一张牌
这张小丑牌获得{X:mult,C:white}X#1#{}倍率
{C:attention}Boss盲注{}被击败时重置倍率
{C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）",Campfire,"This Joker gains {X:mult,C:white}X#1#{} Mult
for each card {C:attention}sold{}, resets
when {C:attention}Boss Blind{} is defeated
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)",,
j_card_sharp,Joker,老千小丑,"如果打出的{C:attention}牌型{}已经
在本回合打出过
则{X:mult,C:white}X#1#{}倍率",Card Sharp,"{X:mult,C:white} X#1# {} Mult if played
{C:attention}poker hand{} has already
been played this round",,
j_cartomancer,Joker,卡牌术士,"在选择{C:attention}盲注{}时
生成一张{C:tarot}塔罗牌{}
{C:inactive}（必须有空位）",Cartomancer,"Create a {C:tarot}Tarot{} card
when {C:attention}Blind{} is selected
{C:inactive}(Must have room)","发现每张
{E:1,C:tarot}塔罗牌{}","Discover every
{E:1,C:tarot}Tarot{} card"
j_castle,Joker,城堡,"每弃掉一张{V:1}#2#{}牌
这张小丑牌获得{C:chips}+#1#{}筹码
每个回合花色都会变
{C:inactive}（当前为{C:chips}+#3#{C:inactive}筹码）",Castle,"This Joker gains {C:chips}+#1#{} Chips
per discarded {V:1}#2#{} card,
suit changes every round
{C:inactive}(Currently {C:chips}+#3#{C:inactive} Chips)",,
j_cavendish,Joker,卡文迪什,"{X:mult,C:white}X#1#{}倍率
回合结束时
有{C:green}#2#/#3#{}的几率
摧毁此牌",Cavendish,"{X:mult,C:white} X#1# {} Mult
{C:green}#2# in #3#{} chance this
card is destroyed
at end of round",,
j_ceremonial,Joker,仪式匕首,"在选择{C:attention}盲注{}时
摧毁右侧的小丑牌
并将其售价的{C:attention}两倍
永久添加至这张牌的{C:attention}倍率
{C:inactive}（当前为{C:mult}+#1#{C:inactive}倍）",Ceremonial Dagger,"When {C:attention}Blind{} is selected,
destroy Joker to the right
and permanently add {C:attention}double
its sell value to this {C:red}Mult
{C:inactive}(Currently {C:mult}+#1#{C:inactive} Mult)",,
j_certificate,Joker,证书,"回合开始时
随机添加一张
带随机{C:attention}蜡封{}的{C:attention}牌
到手牌中",Certificate,"When round begins,
add a random {C:attention}playing
{C:attention}card{} with a random
{C:attention}seal{} to your hand","拥有一张
带{C:attention,E:1}金色蜡封{}的
黄金牌","Have a Gold
playing card with
a {C:attention,E:1}Gold Seal"
j_chaos,Joker,混沌小丑,"每次商店
{C:green}#1#{}次免费重掷",Chaos the Clown,"{C:attention}#1#{} free {C:green}Reroll
per shop",,
j_chicot,Joker,希科,"所有{C:attention}Boss盲注
限制条件消失",Chicot,"Disables effect of
every {C:attention}Boss Blind","{E:1,s:1.3}?????","{E:1,s:1.3}?????"
j_clever,Joker,聪敏小丑,"如果打出的牌中
包含{C:attention}#2#
{C:chips}+#1#{}筹码",Clever Joker,"{C:chips}+#1#{} Chips if played
hand contains
a {C:attention}#2#",,
j_cloud_9,Joker,9霄云外,"每个回合结束时
你{C:attention}完整牌组{}内的每张{C:attention}9{}
使你获得{C:money}$#1#{}
{C:inactive}(当前{C:money}$#2#{}{C:inactive})",Cloud 9,"Earn {C:money}$#1#{} for each
{C:attention}9{} in your {C:attention}full deck
at end of round
{C:inactive}(Currently {C:money}$#2#{}{C:inactive})",,
j_constellation,Joker,星座,"每使用一张{C:planet}星球牌{}
这张小丑牌获得{X:mult,C:white}X#1#{}倍率
{C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）",Constellation,"This Joker gains
{X:mult,C:white} X#1# {} Mult every time
a {C:planet}Planet{} card is used
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)",,
j_crafty,Joker,精明小丑,"如果打出的牌中
包含{C:attention}#2#
{C:chips}+#1#{}筹码",Crafty Joker,"{C:chips}+#1#{} Chips if played
hand contains
a {C:attention}#2#",,
j_crazy,Joker,狂野小丑,"如果打出的牌中
包含{C:attention}#2#{}
{C:red}+#1#{}倍率",Crazy Joker,"{C:red}+#1#{} Mult if played
hand contains
a {C:attention}#2#",,
j_credit_card,Joker,信用卡,"可以负债
最多{C:red}-$#1#{}",Credit Card,"Go up to
{C:red}-$#1#{} in debt",,
j_delayed_grat,Joker,延迟满足,"如果在回合结束时
没有使用弃牌，则每把{C:attention}弃牌{}
获得{C:money}$#1#{}",Delayed Gratification,"Earn {C:money}$#1#{} per {C:attention}discard{} if
no discards are used
by end of the round",,
j_devious,Joker,阴险小丑,"如果打出的牌中
包含{C:attention}#2#
{C:chips}+#1#{}筹码",Devious Joker,"{C:chips}+#1#{} Chips if played
hand contains
a {C:attention}#2#",,
j_diet_cola,Joker,零糖可乐,"售出这牌就可以
创建一个免费的
{C:attention}#1#",Diet Cola,"Sell this card to
create a free
{C:attention}#1#",,
j_dna,Joker,DNA,"如果回合的{C:attention}第一次出牌{}
只有{C:attention}1{}张牌，则将其
永久复制到牌组，并将
复制牌放到{C:attention}手牌中",DNA,"If {C:attention}first hand{} of round
has only {C:attention}1{} card, add a
permanent copy to deck
and draw it to {C:attention}hand",,
j_drivers_license,Joker,驾驶执照,"如果牌组中至少有
{C:attention}16张增强卡牌，
则{X:mult,C:white} X#1# {}倍率
{C:inactive}（当前{C:attention}#2#{C:inactive}）",Driver's License,"{X:mult,C:white} X#1# {} Mult if you have
at least {C:attention}16{} Enhanced
cards in your full deck
{C:inactive}(Currently {C:attention}#2#{C:inactive})","增强牌组里
{E:1,C:attention}#1#{}张卡牌","Enhance {E:1,C:attention}#1#{} cards
in your deck"
j_droll,Joker,滑稽小丑,"如果打出的牌中
包含{C:attention}#2#{}
{C:red}+#1#{}倍率",Droll Joker,"{C:red}+#1#{} Mult if played
hand contains
a {C:attention}#2#",,
j_drunkard,Joker,醉汉,"每回合
弃牌次数{C:red}+#1#{}",Drunkard,"{C:red}+#1#{} discard
each round",,
j_duo,Joker,二重奏,"如果打出的牌中
包含{C:attention}#2#
{X:mult,C:white}X#1#{}倍率",The Duo,"{X:mult,C:white} X#1# {} Mult if played
hand contains
a {C:attention}#2#","赢一局
且不打出
{E:1,C:attention}#1#","Win a run
without playing
a {E:1,C:attention}#1#"
j_dusk,Joker,黄昏,"每回合的
{C:attention}最后一次出牌{}时
所有打出的牌会被触发两次",Dusk,"Retrigger all played
cards in {C:attention}final
{C:attention}hand{} of round",,
j_egg,Joker,鸡蛋,"在回合结束时
本卡的{c:attention}出售价值
增加{c:money}$#1#",Egg,"Gains {C:money}$#1#{} of
{C:attention}sell value{} at
end of round",,
j_erosion,Joker,侵蚀,"在你的牌组中
每比完整的{C:attention}#3#{}张牌少一张
就获得{C:red}+#1#{}倍率
{C:inactive}（当前为{C:red}+#2#{C:inactive}倍率）",Erosion,"{C:red}+#1#{} Mult for each
card below {C:attention}#3#{}
in your full deck
{C:inactive}(Currently {C:red}+#2#{C:inactive} Mult)",,
j_even_steven,Joker,偶数史蒂文,"打出的点数为
{C:attention}偶数{}的牌
在计分时给予{C:mult}+#1#{}倍率
{C:inactive}（10、8、6、4、2）",Even Steven,"Played cards with
{C:attention}even{} rank give
{C:mult}+#1#{} Mult when scored
{C:inactive}(10, 8, 6, 4, 2)",,
j_faceless,Joker,无面小丑,"如果同时弃掉
{C:attention}#2#{}张或更多张
{C:attention}人头牌{}
获得{C:money}$#1#{}",Faceless Joker,"Earn {C:money}$#1#{} if {C:attention}#2#{} or
more {C:attention}face cards{}
are discarded
at the same time",,
j_family,Joker,一家人,"如果打出的牌中
包含{C:attention}#2#
{X:mult,C:white}X#1#{}倍率",The Family,"{X:mult,C:white} X#1# {} Mult if played
hand contains
a {C:attention}#2#","赢一局
且不打出
{E:1,C:attention}#1#","Win a run
without playing
a {E:1,C:attention}#1#"
j_fibonacci,Joker,斐波那契,"打出的每一张
{C:attention}A{}、{C:attention}2{}、{C:attention}3{}、{C:attention}5{}、{C:attention}8{}
在计分时给予{C:mult}+#1#{}倍率",Fibonacci,"Each played {C:attention}Ace{},
{C:attention}2{}, {C:attention}3{}, {C:attention}5{}, or {C:attention}8{} gives
{C:mult}+#1#{} Mult when scored",,
j_flash,Joker,闪示卡,"在商店中每{C:attention}重掷{}一次
这张小丑牌获得{C:mult}+#1#{}倍率
{C:inactive}（当前为{C:mult}+#2#{C:inactive}倍率）",Flash Card,"This Joker gains {C:mult}+#1#{} Mult
per {C:attention}reroll{} in the shop
{C:inactive}(Currently {C:mult}+#2#{C:inactive} Mult)",,
j_flower_pot,Joker,花盆,"如果打出的牌型中，包含
{C:diamonds}方片{}、{C:clubs}梅花{}、
{C:hearts}红桃{}、{C:spades}黑桃{}牌各一张，
则{X:mult,C:white} X#1# {}倍率",Flower Pot,"{X:mult,C:white} X#1# {} Mult if poker
hand contains a
{C:diamonds}Diamond{} card, {C:clubs}Club{} card,
{C:hearts}Heart{} card, and {C:spades}Spade{} card","达到底注
等级{E:1,C:attention}#1#","Reach Ante
level {E:1,C:attention}#1#"
j_fortune_teller,Joker,占卜师,"本赛局内每使用过一张{C:purple}塔罗牌{}
这张小丑获得{C:red}+#1#{}倍率
{C:inactive}（当前为{C:red}+#2#{C:inactive}）",Fortune Teller,"{C:red}+#1#{} Mult per {C:purple}Tarot{}
card used this run
{C:inactive}(Currently {C:red}+#2#{C:inactive})",,
j_four_fingers,Joker,四指,"所有{C:attention}同花{}和
{C:attention}顺子{}都可以
由{C:attention}4{}张牌组成",Four Fingers,"All {C:attention}Flushes{} and
{C:attention}Straights{} can be
made with {C:attention}4{} cards",,
j_gift,Joker,礼品卡,"在每回合结束时
使拥有的每张{C:attention}小丑牌{}
和{C:attention}消耗牌{}
{C:attention}售价{}增加{C:money}$#1#{}",Gift Card,"Add {C:money}$#1#{} of {C:attention}sell value
to every {C:attention}Joker{} and
{C:attention}Consumable{} card at
end of round",,
j_glass,Joker,玻璃小丑,"每摧毁一张
{C:attention}玻璃牌
这张小丑获得{X:mult,C:white}X#1#{}倍率
{C:inactive}（当前为{X:mult,C:white} X#2#{C:inactive}倍率）",Glass Joker,"This Joker gains {X:mult,C:white} X#1# {} Mult
for every {C:attention}Glass Card
that is destroyed
{C:inactive}(Currently {X:mult,C:white} X#2# {C:inactive} Mult)","在你的牌组中
拥有{E:1,C:attention}#1#张
{E:1,C:attention}#2#{}","Have at least {E:1,C:attention}#1#
{E:1,C:attention}#2#s{} in
your deck"
j_gluttenous_joker,Joker,暴食小丑,"打出的
{C:clubs}#2#{}花色牌
在计分时给予{C:mult}+#1#{}倍率",Gluttonous Joker,"Played cards with
{C:clubs}#2#{} suit give
{C:mult}+#1#{} Mult when scored",,
j_golden,Joker,黄金小丑,"在回合结束时
获得{C:money}$#1#{}",Golden Joker,"Earn {C:money}$#1#{} at
end of round",,
j_greedy_joker,Joker,贪婪小丑,"打出的
{C:diamonds}#2#{}花色牌
在计分时给予{C:mult}+#1#{}倍率",Greedy Joker,"Played cards with
{C:diamonds}#2#{} suit give
{C:mult}+#1#{} Mult when scored",,
j_green_joker,Joker,绿色小丑,"每次出牌，这张小丑牌{C:mult}+#1#{}倍率
每次弃牌，这张小丑牌{C:mult}-#2#{}倍率
{C:inactive}（当前为{C:mult}+#3#{C:inactive}倍）",Green Joker,"{C:mult}+#1#{} Mult per hand played
{C:mult}-#2#{} Mult per discard
{C:inactive}(Currently {C:mult}+#3#{C:inactive} Mult)",,
j_gros_michel,Joker,大麦克香蕉,"{C:mult}+#1#{}倍率
回合结束时
有{C:green}#2#/#3#{}的几率
摧毁此牌",Gros Michel,"{C:mult}+#1#{} Mult
{C:green}#2# in #3#{} chance this
card is destroyed
at end of round",,
j_hack,Joker,烂脱口秀演员,"重新触发
所有打出的
{C:attention}2{}、{C:attention}3{}、{C:attention}4{}和{C:attention}5{}",Hack,"Retrigger
each played
{C:attention}2{}, {C:attention}3{}, {C:attention}4{}, or {C:attention}5{}",,
j_half,Joker,半张小丑,"如果打出的牌
少于等于{C:attention}#2#{}张
{C:red}+#1#{}倍率",Half Joker,"{C:red}+#1#{} Mult if played
hand contains
{C:attention}#2#{} or fewer cards",,
j_hallucination,Joker,幻觉,"打开任一{C:attention}补充包{}时
有{C:green}#1#/#2#{}几率
生成一张{C:attention}塔罗牌{}
{C:inactive}（必须有空位）",Hallucination,"{C:green}#1# in #2#{} chance to create
a {C:tarot}Tarot{} card when any
{C:attention}Booster Pack{} is opened
{C:inactive}(Must have room)",,
j_hanging_chad,Joker,未断选票,"打出的牌中
{C:attention}第一张{}计分牌
额外触发{C:attention}#1#{}次",Hanging Chad,"Retrigger {C:attention}first{} played
card used in scoring
{C:attention}#1#{} additional times","用{E:1,C:attention}#1#
打赢Boss盲注","Beat a Boss Blind
with a {E:1,C:attention}#1#"
j_hiker,Joker,徒步者,"打出的每一张牌
在{c:attention}计分{}时
会永久获得{C:chips}+#1#{}筹码",Hiker,"Every played {C:attention}card{}
permanently gains
{C:chips}+#1#{} Chips when scored",,
