id,常量名,显示名,真实名
2018,NEW_LIFE_BLOCK_IOS,复活,复活
2019,CLEAR_BOARD_BLANK_IOS,填空消除,清屏填空-ios
2020,FIVE_REMOVE_SURFACE,五消出块,五消出块
2021,ALGO_SPLIT4_AREA_TO_FILL,空旷盘面适用的分摊算法,空旷盘面适用的分摊算法
2022,PERFECT_FILL_BOARD,首轮近完美填空,首轮近完美填空
2023,CLEAR_AND_FILL,消除填空,消除填空
2024,FIRST_EIGHT_GAMES_FIXED_BLOCK,新手前8局固定出块,新手前8局固定出块
2025,NEW_USER_EARLY_ROUNDS_FIXED_BLOCK,新人前几局固定出块,新人前几局固定出块
2069,ALGO_SCORE,分数算法,分数算法
2070,ALGO_DIFFICULT_DOWN,难题降级策略,难题降级策略
2071,ALGORITHM_INCREASE_VARIANCE_RANDOM,随机无死亡,10000分前块面积方差拉大-随机无死亡
2072,ALGO_AVOID_CLEAR_BOARD,不清屏,分数过低消除不清屏
2100,REPLACE_ROUNDLIMIT,平替局数,平替局数
2201,IRREVERSIBLE_ALIEN,不可消除异形,不可消除异形
2202,CLASSTERMINATE_CYCLE,终止刷分,无尽终止刷分
2203,CHAPTERTERMINATE_CYCLE,终止刷分,旅行终止刷分
2204,REVIVE_CLEAR,新复活,新复活
2205,HISTORY_CLEAR_BOARD,历史盘面清屏算法,历史盘面清屏算法
2206,ENSURE_CLEAR,有消替换,有消替换
2207,ALGO_HISTORY_BOARD,历史盘面对称算法,历史盘面对称算法
2208,FEAT_PERFECT_TRANSLATE,完美契合块,完美契合块
2209,CLEAR_HELP,帮扶清盘,帮扶清盘
2210,IOS_TERMINATE_CYCLE,终止刷分,IOS终止刷分
2211,CLEAR_BOARD_PRO,清盘算法Pro,清盘算法Pro
2212,ALGO_HISTORY_MORE_CLEAR,历史盘面多消算法,历史盘面多消算法
2213,NEWUSER_LOWROUND_PROTECTION,去怼死填空,去怼死填空
2214,STRICT_CLEAR_BLOCK,清盘严格出块,清盘严格出块
2300,REVIVE_PROTECT,复活保护算法,复活保护算法
2400,ELIMINTE_PLEASURE,消除爽,消除爽
2401,INVALID_REMOVE_FIXED_GROUP,无效消除1,无效消除1
2402,INVALID_REMOVE_LOOP_OUT_BLOCK,无效消除2,无效消除2
2500,FILL_MATRIX_MN,MN填空不消除,MN填空不消除
2501,IOS_ALGO_TRAVEL_BLOCK_RANDOMNESS,旅行关卡的初始方块增加随机性,旅行关卡的初始方块增加随机性
2502,SOFT_KILL,温和怼死,温和怼死
2600,SYMMETRIC_BLOCK,对称块,对称块
2601,COPY_ALGORITHM,拷贝算法,拷贝算法
2602,EMPTY_BOARD_REPLAY,空盘面Replay重新刷,空盘面Replay重新刷
2606,GUIDE_BLOCK_FIRST_TIMES,新手引导结束首轮最大化盘面,新手引导结束首轮最大化盘面
2700,CERTANLY_TIKONG,必消填空,必消填空
2701,ELIMINATE_TEMPT,多消陷阱,多消陷阱
2712,DEATH_IMPRESSION,强化印象,强化印象
2713,ALGO_EXCLUSIVE_TKXC,独占填空,独占填空
2714,DUO_XIAO_LIMIT_BLOCK,多消算法,多消算法
2715,FIRST_ROUND_CLEAR_BOARD1,初始谜题局1,初始谜题局1
2716,FIRST_ROUND_CLEAR_BOARD2,初始谜题局2,初始谜题局2
2717,FIRST_ROUND_CLEAR_BOARD3,初始谜题局3,初始谜题局3
2718,COMBO_CONTINUE_BLOCK,续combo块,续combo块
3000,ZIMU_SHANGZENG,子母熵增3,子母熵增3
3001,CLEAR_SHANGZENG,消除熵增,消除熵增
3002,SHANG_ZENG_4,面积扩大的熵增4,面积扩大的熵增4
3003,BLANK_BLOCK,扩大连通空白,扩大连通空白
3004,SHANG_ZEND_MEDIUM,熵增3,熵增3
3005,ALGORITHM_INCREASE_VARIANCE_ADD3,熵增3,10000分前块面积方差拉大-熵增3
3006,ALGO_LIMIT_AREA,随机策略中控制面积,随机策略中控制面积
3007,SHANG_ZENG_3_NO_DOWN,熵增3,熵增3
3008,WEIGHT_ADD,增加权重,增加权重
3009,IOS_ADD3_NOT_BIT,熵增3,IOS非位运算熵增3
3010,IOS_ADD3_BIT,熵增3,IOS位运算熵增3
3011,SHANG_ZENG_4_IOS,面积扩大的熵增4,面积扩大的熵增4
3012,IOS_SHANG_ZENG_3_ENTRPOY_BIT,严格熵熷,严格熵熷
3013,SHANG_ZEND_MEDIUM_IOS,熵增3,熵增3
3014,EASY_CHOOSE_ENTROPY,易择熵增,易择熵增
3015,REVENUE_ENTROPY_INCREASE,收益熵增,收益熵增
3016,SHOUYI_SHANG_ZENG,收益熵增2,收益熵增2
3017,SAOLEI_SHANG_ZENG,扫雷熵增,扫雷熵增
3018,RELATIVE_ENTROPY_AREA_NEAR,相对熵增(可消面积大贴边),相对熵增(可消面积大贴边)
3019,RELATIVE_ENTROPY_LESS_EDGE,相对熵增(可消权重高边数小),相对熵增(可消权重高边数小)
3020,WEIGHT_SHANGZENG,权重熵增,权重熵增
3021,PARAM_ENTROPY_INCREASE,参数化熵增,参数化熵增
3022,INCREASE_ENTROPY3_DIE,熵增3降级怼死,熵增3降级怼死
3023,ZHI_SI_SHANG_ZENG,致死熵增,致死熵增
3024,COMBO_ENTROPY,消除延续熵增,消除延续熵增
3026,EQUAL_NOPUT_INCREASE,等于没放熵增,等于没放熵增
3028,ALGO_ENTROPY_EXTREME,极限熵增,极限熵增
4000,SIMPLE_ZHIJUE,简单直觉题,简单直觉题
4001,HEJI_ALGORITHMENTROPY,死亡难题,更难的困难难题
4002,HEJI_ALGORITHMENTROPYMORECLEAR,死亡难题,十字解困难难题
4003,HEJI_ALGODIFFSPREAD1,死亡难题,难题扩展1
4004,HEJI_ALGODIFFSPREAD2,死亡难题,难题扩展2
4005,DIFFICULTY_GAOHUIBAO,高回报难题,高回报难题
4006,HEJI_KUN_NAN_TI,死亡难题,困难难题合集里的困难难题
4007,HPARALLELCLEAR_HARD,消两次难题,消两次难题
4008,EXTREME_HARD,极端难题,极端难题
4009,ALGO_ONE_DIFFICULT,单消难题,单消难题
4010,CROSS_CLEAR_HARD,十字消除难题,十字消除难题
4011,LINK_SMALL_BORDER,连续边数少难题,连续边数少难题
4012,ALGO_NAN_TI,难题,难题
4013,KUN_NAN_NAN_TI,困难难题,困难难题
4014,BIT_KUN_NAN_TI,位运算困难难题算法,位运算困难难题算法
4015,VERY_KUN_NAN_TI_1,更难的困难难题1,更难的困难难题1
4016,VERY_KUN_NAN_TI_3,更难的困难难题3,更难的困难难题3
4017,VERY_KUN_NAN_TI_2,更难的困难难题2,更难的困难难题2
4018,KUN_NAN_TI_BEST,困难难题优化耗时版,困难难题优化耗时版
4019,NEW_KUN_NAN_TI,新难题探索,新难题探索
4020,KUN_NAN_TI_MODEL,困难模式,困难模式
4021,KUN_NAN_DOUBLE_OFFER,困难难题-双块算法,困难难题-双块算法
4022,VERY_KUN_NAN_TI_CROSS_CLEAR,更难的困难难题-十字消除扩展,更难的困难难题-十字消除扩展
4023,HARD_PROBABILITY,难题概率,难题概率
4024,VERY_DIFFICULT_HARD,极其困难难题,极其困难难题
4025,HIGH_VALUE_SUBTLE_HARD,不易察难题,不易察难题
4026,INCLUDE_3X3_HARD,双轮出块构建的后悔难题,双轮出块构建的后悔难题
4027,INCLUDE_3X3_INSTINCT,双轮出块构建的后悔难题,双轮出块构建的后悔难题
4028,NO_CLEAR_DIFFICULT,无消除难题,无消除难题
4029,IOS_ZHI_JUE_BIT,直觉难题,IOS位运直觉难题
4030,IOS_ZHI_JUE_NOT_BIT,直觉难题,IOS非位运直觉难题
4031,IOS_KUN_NAN_BIT,死亡难题,IOS位运算困难难题
4032,IOS_KUN_NAN_HARD_LEVEL_4,死亡难题,IOS困难难题难度4
4033,IOS_KUN_NAN_OPTIMIZE,死亡难题,IOS优化定时难题
4034,JU_ZHENG_NAN_TI,死亡难题,IOS矩阵难题
4035,IOS_SIMPLE_HARD,简单难题,简单难题
4036,DIFF_EASY_HELP,困难简单难题,困难简单难题
4037,TWO_3X3_HARD,两个3*3难题,两个3*3难题
4038,INSTINCT_HARD_USER,习惯难题,习惯难题
4039,SINGLE_DIFF_OFFER,单轮出题解题策略,单轮出题解题策略
4040,BLIND_AREA_FILL_HARD,盲区类填空难题,盲区类填空难题
4041,CROWDED_PUZZLE,拥挤难题,拥挤难题
4042,POS_CONFLICT_HARD,位置冲突难题,位置冲突难题
4043,UPLIFT_DUISI_KUN_NAN,好体验后怼死钝感人群困难难题怼死替换,好体验后怼死钝感人群困难难题怼死替换
4050,DYNAMIC_CROSS_CLEAR_HARD,动态十字消难题,动态十字消难题
4051,REPEAT_BLOCK_DIFF,重合块难题,重合块难题
4052,ALGO_PATH_DIFF,路径难题,路径难题
5001,ALL_CAN_PUT_DIE,三块可放怼死题,三块可放怼死题
5002,MIDDLE_BLOCK_DEATH,中块怼死题,中块怼死题
5003,DEADLY_HARD,困难怼死,困难怼死
5004,BEAUTIFUL_DUI_SI,更优雅的怼死,更优雅的怼死
5005,FULL_BOARD_DEATH,怼死盘面尽量满策略,怼死盘面尽量满策略
10000,CUSTOM,自定义算法,自定义算法
11001,SHANG_ZENG_1_NEW,熵增1_新,熵增1_新
12008,ALGO_LIMIT_HIGH_COMBO,限制高combo,限制高combo
12010,CAN_PUT_BLOCK,可放块数熵增,可放块数熵增
12017,EFFICIENT_ENTROPY3,高效熵增,高效熵增
12023,ALGO_FILL_INCREASE,填空熵增,填空熵增
12025,ALGO_COMBO_ACHIEVE_BLOCK,combo成就阻挠,combo成就阻挠
12026,QUYU_SHANG_ZENG,区域熵增,区域熵增
12027,COMBO2_ENTROPY,combo2熵增,combo2熵增
12028,ALGO_HIGH_COMBO_EASY_CONTINUE,不断连击出块,不断连击出块
12031,ALGO_HABIT_SHANGZENG,习惯熵增,习惯熵增
12032,INSTINCT_CUT_ENTROPY,直觉切割熵增,直觉切割熵增
12033,ENTROPY_INC_ANGLE,斜角变型熵增,斜角变型熵增
12034,REPLACE_MUTATION,随机_变异难题,随机_变异难题
12035,SHANG_ZENG_3_X_8,熵增3*8,熵增3*8
12036,ALGO_ENTROPY3_CLEAR,熵增3消除,熵增3消除
12037,INCREASE_ENTROPY_NEBULA,星云熵增3,星云熵增3
12039,ZIMU_SHANGZENG_REMOVE13,子母熵增去除13,子母熵增去除13
12040,ZIMU_SHANGZENG_REPLACE13,子母熵增替换13,子母熵增替换13
12041,ALGO_COMBO_ENTROPY,连击熵增,连击熵增
14016,ALGO_MIX_TKXC,混合填空2,混合填空2
14019,ALGO_FILL_MORE_AREA,大面积填空,大面积填空
14020,ALGO_FILL_MORE_AREA_IOS_TRAVEL,大面积填空,大面积填空
14021,ALGORITHM_BRANCH_TKXC_MORE_CLEARN,分支填空-多消,分支填空-多消
14022,ALGORITHM_BRANCH_TKXC_COMBO,分支填空-combo,分支填空-combo
14023,ALGO_QUICK_FILL_ENTROPY_INCREASE3_2_1,快速填空:熵增3(2:1),快速填空:熵增3(2:1)
14024,ALGO_QUICK_FILL_ENTROPY_INCREASE3_1_2,快速填空:熵增3(1:2),快速填空:熵增3(1:2)
14025,ALGO_REMOTE_23,填空消除,填空消除不带23块
14026,ALGO_FILL_REPEAT,填空消除-重复,填空消除-重复
14027,ALGO_HORIZONTAL_3_8,切割块,切割块
14028,ALGO_CLEAR_BOARD_GATHER,聚拢算法,清盘算法plus调参-聚拢算法
14029,ALGO_NEAR_THICKNESS_BLOCK_FILLING,填空消除,贴边厚度影响填空出块
14030,ORDER_FILL_ELIM,秩序填空,秩序填空
14031,ALGO_COLLECT_TKXC,收集物填空,收集物填空
14032,RANDOM_TKXC,随机填空,随机填空
14033,FOUR_REGION_LARGE_FILL,四区域填空,四区域填空
14035,ALGO_RANDOM_CLEAR_COMBINATION,随机可消除组合,随机可消除组合
14037,ALGO_NEAR_THICKNESS_BLOCK_FILLING_IOS,填空消除,贴边厚度影响填空出块-ios
14038,ALGO_QUICK_FILL_SECOND,次优快速填空,次优快速填空
14039,ALGO_TKXC_SECOND,次优填空消除,次优填空消除
14040,ALGO_MIX_TKXC_SECOND,次优混合填空2,次优混合填空2
14045,ALGO_DIFF_ORDER_FILL,填空消除,顺序填空
14046,ALGO_NEAT_FILL,整齐填空,整齐填空
14047,ALGO_QUICK_FILL_PARAM,快速填空调参,快速填空调参
14048,ALGO_DOMINO_CLEAR,多米诺,多米诺
14049,ALGO_TARGET_COLLECT_CLEAR,目标物填空,目标物填空
14054,TRAVEL_FILL_FUNCTION_BIT,填空消除,填空消除
14055,ALGO_SHENG_ZENG_TRAVEL_FILL,熵增旅行填空,熵增旅行填空
14056,ALGO_FIRST_ROUND_MORE_CLEAN,首轮多消,首轮多消
14057,ALGO_CONTINUE_COMBO,连续combo,连续combo
14065,ALGO_HOLE_FILL_PRIORITY,单格填空,单格填空
14066,ORDER_CHIOCE,秩序抉择,秩序抉择
14069,ALGO_CROSS_CLEAR_FIRST_ROUND,强制十字消初始盘面,强制十字消初始盘面
14070,COLD_START_CLEAR_BOARD,初始块,初始块
14071,NO_LINK_BLOCKS_MAKE_GROUP,滞留块包裹,滞留块包裹
14072,ALGO_MIN_EDGE_FILL_BLANK,减少边数填空消除,减少边数填空消除
14073,OPEN_COMBO_FILL_IN,开局combo,开局combo
14076,ALGO_HARD_EDGE_13,不可放入块禁用3*3的反找连续边数少难题,不可放入块禁用3*3的反找连续边数少难题
14077,ALGO_HARD_BINARY_13,不可放入块禁用3*3的困难难题,不可放入块禁用3*3的困难难题
14080,OPTIMAL_FILL_CLEAR,最优填空消除,最优填空消除
14081,GENTLE_MODE_HELP_BLOCK,温和帮扶块,温和帮扶块
14084,EMPTY_AREA_MAX_FILL,补全镂空,补全镂空
14086,TWO_UNABLE_PUT_BLOCK_ELIMINATE,两个不可放块的题型-消除,两个不可放块的题型-消除
14087,ALGO_EDGE_ADJACENT_FILL_CLEAR,贴边填空消除,贴边填空消除
14089,FILL_CLEAR_DOWNGRADE,新填空降级,新填空降级
14090,ALGO_UNLESS_RECT_CLEAR,非矩形不消除填空,非矩形不消除填空
14091,FILL_MIN_WEIGHT,权重最低填空,权重最低填空
14092,COMBO_ALGO_FILL_BLANK,combo填空,combo填空
14093,ALGO_MERGE_CLEAR_AND_EDGES_FILL,合并填空,合并填空
14094,ALGO_OPTIMAL_FILL_MAX_HOLE,大空洞填空,大空洞填空
14095,ALGO_LESS_POSITION,位置少算法,位置少算法
14096,SAME_DIRECTION_FILL,同向填空,同向填空
14097,NO_CLEAR_BOARD,非清屏,非清屏
14098,PRIORITY_BLOCK,优先消除,优先消除
14099,ALGO_1_FILL_2_SUI_JI_WU_SI,1填空2随机无死,1填空2随机无死
14100,MODIFY_FILL_ORDER,填空消除调参,填空消除调参
14101,ATTACK_SCORE_FILL_BLANK,攻击分填空消除,攻击分填空消除
14106,ALGO_QUICK_FILL_QUICK_FILL_ENTROPY_INCREASE3,快速填空快速填空熵增3,快速填空快速填空熵增3
14107,ALGO_QUICK_FILL_FILL_CLEAR_ENTROPY_INCREASE3,快速填空填空消除熵增3,快速填空填空消除熵增3
14108,ALGO_CLEAR_BOARD_EFFICIENT,清盘高效,清盘高效
14110,CROSS_CLEAR_FILL,十字消填空,十字消填空
14111,ALGO_FILL_LESS_CHOICE,少选择填空,少选择填空
14112,ALGO_SELECT_INTERNAL_CORNER_FILL,阴角填空消除,阴角填空消除
14113,ALGO_SELECT_INTERNAL_CORNER_NEAR_THICKNESS_FILL,阴角填空消除,阴角填空消除
14115,FILL_CLEAR_APART,填消分离的填空消除,填消分离的填空消除
14117,PREVENT_CLEAR_BOARD,防止清盘算法,防止清盘算法
14118,ALGO_FILL_MATRIX_MN,MN填空不消除,MN填空不消除
14119,ALGO_FILL_AVG_NEAR_THICKNESS,厚度均值填空,厚度均值填空
14120,EDGE_THICKNESS_FILL,填空消除,贴边厚度影响填空出块
14122,ALGO_FILL_AND_CORNER,占角消除块,占角消除块
14123,IOS_SAME_CLEAR_FILL,同位置消除填空,同位置消除填空
14124,LESS_EDGE_AND_SAME_CLEAR_INFO,行列惯性填空,行列惯性填空
14125,ALL_COMBINATION_FILL_EMPTY,全组合填空消除,全组合填空消除
14126,ALGO_INTUITIVE_FILL,交点少的填空消除,交点少的填空消除
14128,EXTREME_FILL,极限填空,极限填空
14129,ALGO_MULIT_CLEAR_PLUS,多消plus,多消plus
14130,ALGO_FILL_SAME_REGULAR,相同规整块算法,相同规整块算法
14131,ALGO_EMPTY_AREA_BLOCK13,空旷区ID13,空旷区ID13
14132,ALGO_FINAL_MUTIL_CLEAR,终局多消,终局多消
14133,AJGO_OPTIMAL_OR_KILL,致死或最优,致死或最优
14134,ALGO_FILL_COMPLICATED_CHOICE,复杂抉择,复杂抉择
14135,ENHANCED_FILL,增强填空,增强填空
14136,ALGO_BLOCKWALL_PRIORITY,贴边厚度-方块贴壁,贴边厚度-方块贴壁
14137,ALGO_EDGETICHNESSSHAPE_FIRST,对贴边厚度的调参-方块组成长条行/列优先,对贴边厚度的调参-方块组成长条行/列优先
14139,ALGO_FILL_WEIGHT,权重填空消除,权重填空消除
14140,ALGO_MIX_CLEAR3,混合填空,混合填空
14141,ALGO_TRAVEL_MANY_CLEAR,旅行多消填空,旅行多消填空
14142,ALGO_THICKNESS_AVERAGE,贴边厚度影响填空出块-所有子块厚度均值,贴边厚度影响填空出块-所有子块厚度均值
14143,ALGO_QUICK_FILL_MEDIAN,中位数快速填空,中位数快速填空
14144,PRECISE_COLLECT_FILL,精准收集填空,精准收集填空
14145,THREE_BY_THREE_COMBINATION_FILL,3x3组合填空,3x3组合填空
14146,MOSTRUNDIE,多轮致死填空算法,多轮致死填空算法
14147,REPLACE_FILL_HARD,填空难题,填空难题
14148,ALGO_CLEAR_AREA_RESIDUE,消除区域残余,消除区域残余
14149,ALGO_EARLY_WEIGHT_REDUCE,前期降权重,前期降权重
14150,HIGH_CLEAR_PROB_FILL_BLANK,消除概率高的填空,消除概率高的填空
14151,ALGO_FILL_OPTIMIZE,填空优化,填空优化
14152,MORE_CLEAR_REPLACE_CLEAR_BOARD,多消代替清屏,多消代替清屏
14153,REPLAY_REWARD_CLEAR_BOARD,Replay奖励清盘算法,Replay奖励清盘算法
14154,ALGO_INACTIVE_AREA_FILL,优先填空,优先填空
14155,ALGO_UPGRADE_FILL,升级填空,升级填空
14156,ALGO_FILL_HORIZONTAL,横向填空,横向填空
14157,ALGO_FILL_VERTICAL,纵向填空,纵向填空
14158,ALGO_COLOR_CLEAR,颜色消除,颜色消除
14160,ALGO_FIRST_ROUND_ELIMINATE,关卡首轮消除,关卡首轮消除
14161,ALGO_HIGH_VALUE_GAP_FIRST,高价值空隙优先出块,高价值空隙优先出块
14162,ERROR_FILL_BLANK,易错填空,易错填空
14163,ALGO_LONG_RECT_FILL_CLEAR,长矩形构成填空消除,长矩形构成填空消除
14165,EFFICIENT_FILL_CLEAR,高效率填空消除,高效率填空消除
14166,NEW_PLAYER_FILL,新手填空,新手填空
14167,COMBO_BREAK_FILL,考虑combo状态的填空,考虑combo状态的填空
14168,BLOCK_SHAPE_FIT_CHECK,填空消除,填空消除
14169,ALGO_PROXIMITY_WEIGHT_FILL_CLEAR,邻近权重填空消除,邻近权重填空消除
14170,ALGO_INITIAL_BOARD_FAKE_HARD,初始盘面伪难题,初始盘面伪难题
14171,ALGO_REWARD_PUNISHMENT_ENTROPY,奖惩熵增算法,奖惩熵增算法
14172,ALGO_PROTECT_FILL,保护填空,保护填空
14173,ALGO_XY_CUT_BLOCK,星云-切割块,星云-切割块
14174,VALID_ELIMINATE,有效消除,有效消除
14175,ALGO_CONTINUE_COMBO_EXTEND,延续算法,延续combo
14176,ALGO_EASY_BREAK_COMBO_FILL,易断combo填空,易断combo填空
14177,ALGO_CONVEX_HULL_FILL,凸包填空,凸包填空
14181,ALGO_COMPUTE_FILL,计算填空,计算填空
14182,ALGO_CENTER_MULTI_CLEAR_FILL,中心化多消填空,中心化多消填空
14183,ALGO_STARTSURFACE_CLEAR,开局多消,开局多消
14184,ALGO_COMPREHENSIVE_FILL,综合填空,综合填空
14185,ALGO_FILL_SMALL_BLOCK_AFTER_REVIVE,复活后小块填空,复活后小块填空
14186,ALGO_SYMMETRY_KEEP_BOARD_BLOCK,对称保持盘面出块,对称保持盘面出块
14187,ALGO_SAFER_THRILL_PASS_COLLECT,安全惊险过关,安全惊险过关
14189,ALGO_STRATEGY_PASSTHROUGH,策略透传出块,策略透传出块
14190,ALGO_THREE_SELECT_FILL,随机块池填空消除,随机块池填空消除
14191,ALGO_INITIAL_BOARD_HIGH_EDGE,初盘高贴边,初盘高贴边
14192,ALGO_HARD_REWARD_PUNISHMENT_ENTROPY,困难奖惩熵增算法,困难奖惩熵增算法
14193,FILL_AREA_COEFF,填空增加面积系数,填空增加面积系数
14194,ALGO_QUICK_FILL_EDGE_DECREASE,减边快速填空,减边快速填空
14196,ALGO_HABIT_REVERSE_TRACTION,习惯反向牵引,习惯反向牵引
14198,ALGO_POSITION_FILL,位置填空,位置填空
14200,ALGO_EXTREME_RESCUE_A,极限拯救a,极限拯救a
14201,ALGO_EXTREME_RESCUE_B,极限拯救b,极限拯救b
16015,NANTIJIANGJICELUE,难题降级策略,难题降级策略
16023,ONE_GRID_BLOCK_HARD,一格小块难题,一格小块难题
16024,ENTROPY_FILL_HARD,熵增填空,熵增填空
16025,ONE_BLOCK_SOLVE_DIFFICULT,单块可解难题,单块可解难题
16027,MISLEADING,一般诱导,一般诱导
16029,ALGO_SIMPLE_HARD_PARAM1,较为简单的困难难题（无异体块）,较为简单的困难难题（无异体块）
16030,FIRST_ROUND_UNIQUE_PLACE,开局唯一放置题设计,开局唯一放置题设计
16034,EASY_NAN_TI,较容易难题,较容易难题
16035,ALGO_HIGH_COMBO_HARD,高combo陷阱难题,高combo陷阱难题
16036,KUN_NAN_TI_HELP,困难难题帮扶,困难难题帮扶
16037,LINK_SMALL_BORDER_HELP,连续边数少难题帮扶,连续边数少难题帮扶
16038,ALGO_AREA_DIFF_HARD,差异难题,差异难题
16039,TWO_UNPUT_BLOCK_DIFFICULT,两个不可放块难题,两个不可放块难题
16040,HOLLOW_MULTI_PLACEMENT,空洞挖块难题,空洞挖块难题
16044,SMALL_BLOCK_HARD,小块难题,小块难题
16046,BIG_BIG_SMALL_HARD,小小大难题,小小大难题
16047,ALGO_DEAD_ALIVE_TREE,生死树难题,生死树难题
16048,REGULAR_ENTROPY_HARD,其它角度的直觉难题,其它角度的直觉难题
16049,ALGO_HABIT_DIFFICULTY,习惯难题,习惯难题
16051,CONVENIENT_DIFFICULT_PROBLEM,便捷困难难题,便捷困难难题
16052,FIXED_HARD_BLOCK,易察觉型难题块池,易察觉型难题块池
16053,LONG_DISTANCE_HARD,长距离困难难题,长距离困难难题
16054,MORE_LIVE_WAY_HARD,多活路难题,多活路难题
16055,ALL_CLEARABLE_HARD,皆可消块难题,皆可消块难题
16056,DEATH_FALLACY_HARD,死亡错觉难题,死亡错觉难题
16057,ALGO_CLEARABLE_LIVE_WAY_HARD_1,可消位置边数误导难题,可消位置边数误导难题
16058,ALGO_SUPER_EASY_HARD,超简单难题,超简单难题
16059,ALGO_CLEARABLE_LIVE_WAY_HARD_2,可消位置边数误导难题,可消位置边数误导难题
16060,ALGO_HIGH_SCORE_DIFFICULT,高分难题,高分难题
16061,ALGO_WELL_FORMED_HARD,规整难题,规整难题
16062,ALGO_LETHAL_BLOCK_MISLEADING_HARD,致死块直觉误导,致死块直觉误导
16063,ALGO_EASY_FILL_HARD,简单填空难题,简单填空难题
16064,ALGO_SMALL_AND_BIG_AREA_HARD,大小块难题,大小块难题
16065,SUPER_HARD_PROBLEM,Super困难难题,Super困难难题
16066,ALGO_VISUAL_IMPACT_EASY_SOLVE,视觉冲击可解难题,视觉冲击可解难题
16067,ALGO_MULTI_SOLUTION_HARD,多解难题,多解难题
16068,MORE_LIVE_WAY_HARD_TUNE,多活路难题调参,多活路难题调参
17006,TRAVEL_ADD_RANDOM,旅行增加随机性,旅行关卡的初始方块增加随机性
17007,CLASS_SCORE_ASSISTANCE,无尽帮扶算法,无尽帮扶算法
17008,RANDOM_NO_DEATH_SEQUENCE,序列式随机无死,序列式随机无死
17009,SUI_JI_LIMIT,限制随机,限制随机
17010,COLUMN_WEIGHT_BLOCK_SELECT,空盘面出块,空盘面出块
17011,RANDOM_NO_DEATH_LITE,随机无死亡简化,随机无死亡简化
17012,ONE_BLOCK_DOWNGRADE_RANDOM_NO_DIE,单块降级随机无死,单块降级随机无死
17013,ALGO_PRIORITY_CENTER_RANDOM,优先放中间的随机,优先放中间的随机
17014,AREA_INERTIA_ALGORITHM,面积惯性算法,面积惯性算法
17015,RANDOM_NO_DIE_VARIANT,随机出块优先铺满,随机出块优先铺满
17016,ALGO_RANDOM_NO_DIE_HELP,随机无死,随机无死
